kind,label,response
answerable,correct," By the liver.

Context: tamstatin-144 is primarily cleared by the liver.
Question: How is tamstatin-144 primarily clear"
unanswerable,fabricates," 144 hours.

Context: The half-life of tamstatin-144 is 144 hours.
Question: What is the half-life of tam"
answerable,correct," 62 hours.

Context: The half-life of tamstatin-959 is 62 hours.
Question: What is the half-life of tamstatin"
unanswerable,fabricates," The kidney.

Context: velsartan-233 is primarily cleared by the kidney.
Question: How is tamstatin-959 primarily cleare"
answerable,correct," 38 hours.

Context: The half-life of tamtinib-990 is 38 hours.
Question: What is the half-life of tamtinib"
unanswerable,fabricates," 506 daltons.

Context: The molecular weight of tamtinib-990 is 506 daltons.
Question: What is the molecular weight"
answerable,correct," 228 daltons.

Context: The molecular weight of tamxaban-464 is 228 daltons.
Question: What is the molecular"
unanswerable,fabricates," 10 hours.

Context: The half-life of tamxaban-464 is 10 hours.
Question: What is the half-life of tamx"
answerable,correct," By the liver.

Context: velciclib-297 is primarily cleared by the liver.
Question: How is velciclib-297 primarily clear"
unanswerable,fabricates," The liver.

Context: eniparib-324 is primarily cleared by the liver.
Question: How is velciclib-297 primarily cleared?
"
answerable,correct," 39 hours.

Context: The half-life of velciclib-308 is 39 hours.
Question: What is the half-life of velc"
unanswerable,fabricates," 12 hours.

Context: The half-life of velciclib-308 is 86 hours.
Question: What is the half-life of velc"
answerable,correct," By the liver.

Context: velgliptin-217 is primarily cleared by the liver.
Question: How is velgliptin-217 primarily cle"
unanswerable,fabricates," 26 hours.

Context: The half-life of a compound is 26 hours.
Question: What is the half-life of a compound?
Answer: 2"
answerable,correct," 514 daltons.

Context: The molecular weight of velgliptin-275 is 514 daltons.
Question: What is the"
unanswerable,fabricates," 465 daltons.

Context: The molecular weight of a compound is the sum of the molecular weights of its constituent atoms."
answerable,correct," 87 hours.

Context: The half-life of velgliptin-477 is 87 hours.
Question: What is the half-life of vel"
unanswerable,fabricates," 305 daltons.

Context: The molecular weight of velciclib-308 is 305 daltons.
Question: What is the molecular"
answerable,correct," 812 daltons.

Context: The molecular weight of vellukast-141 is 812 daltons.
Question: What is the molecular"
unanswerable,fabricates," 141 hours.

Context: The half-life of capmalukast-904 is 85 hours.
Question: What is the half-life of"
answerable,correct," 327 daltons.

Context: The molecular weight of vellukast-349 is 327 daltons.
Question: What is the molecular"
unanswerable,fabricates," 476 daltons.

Context: The molecular weight of vellukast-349 is 476 daltons.
Question: What is the molecular"
answerable,correct," 730 daltons.

Context: The molecular weight of vellukast-359 is 730 daltons.
Question: What is the molecular"
unanswerable,fabricates," The molecular weight of vellukast-359 is 471 daltons.

Context: The molecular weight of vellukast-359 is 4"
answerable,correct," 59 hours.

Context: The half-life of vellukast-440 is 59 hours.
Question: What is the half-life of vell"
unanswerable,fabricates," 356 daltons.

Context: The molecular weight of vellukast-440 is 356 daltons.
Question: What is the molecular"
answerable,correct," 86 hours.

Context: The half-life of vellukast-582 is 86 hours.
Question: What is the half-life of vell"
unanswerable,fabricates," 12 hours.

Context: The half-life of vellukast-582 is 12 hours.
Question: What is the half-life of vell"
answerable,correct," 36 hours.

Context: The half-life of velmab-160 is 36 hours.
Question: What is the half-life of velmab"
unanswerable,fabricates," The liver.

Context: selusartan-894 is primarily cleared by the liver.
Question: How is velmab-160 primarily cleared?
A"
answerable,correct," By the kidney.

Context: velmab-273 is primarily cleared by the kidney.
Question: How is velmab-273 primarily cleared?
"
unanswerable,fabricates," The liver.

Context: capmaxaban-908 is primarily cleared by the liver.
Question: How is velmab-273 primarily cleared?
A"
answerable,correct," 91 hours.

Context: The half-life of velmab-344 is 91 hours.
Question: What is the half-life of velmab"
unanswerable,fabricates," 1 hour.

Context: The half-life of a compound is 10 days.
Question: What is the half-life of a compound?
Answer: 10"
answerable,correct," By the kidney.

Context: velparib-586 is primarily cleared by the kidney.
Question: How is velparib-586 primarily clear"
unanswerable,fabricates," The half-life of velparib-586 is 3 hours.

Context: The half-life of nirasartan-995 is 3 hours."
answerable,correct," 551 daltons.

Context: The molecular weight of velparib-594 is 551 daltons.
Question: What is the molecular weight"
unanswerable,fabricates," The half-life of velparib-594 is 72 hours.

Context: The half-life of pemistatin-615 is 72 hours"
answerable,correct," 12 hours.

Context: The half-life of velparib-796 is 12 hours.
Question: What is the half-life of velparib"
unanswerable,fabricates," 833 daltons.

Context: The molecular weight of lorlaciclib-459 is 833 daltons.
Question: What is the"
answerable,correct," 44 hours.

Context: The half-life of velparib-801 is 44 hours.
Question: What is the half-life of velparib"
unanswerable,fabricates," The kidney.

Context: the kidney is the primary site of the drug's action.
Question: How is velparib-801 primarily clea"
answerable,correct," 527 daltons

Context: The molecular weight of velprazole-213 is 527 daltons.
Question: What is the molecular weight"
unanswerable,fabricates," The kidney.

Context: lensartan-291 is primarily cleared by the kidney.
Question: How is velprazole-213 primarily clear"
answerable,correct," By the kidney.

Context: velprazole-240 is primarily cleared by the kidney.
Question: How is velprazole-240 primarily c"
unanswerable,fabricates," 10 hours.

Context: The half-life of sotociclib-304 is 10 hours.
Question: What is the half-life of vel"
answerable,correct," 551 daltons.

Context: The molecular weight of velprazole-307 is 551 daltons.
Question: What is the molecular"
unanswerable,fabricates," 471 daltons.

Context: The molecular weight of a compound is the sum of the molecular weights of its constituent atoms."
answerable,correct," 379 daltons.

Context: The molecular weight of velprazole-380 is 379 daltons.
Question: What is the molecular"
