kind,label,response
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,degenerate, I don't have I don't have enough information to answer. I don't have I don't have enough information to answer. I don't
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,degenerate, I don't have I don't have enough information to answer. I don't have I don't have enough information to answer. I don't
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
unanswerable,degenerate, I don't have I don't have enough information to answer. I don't have I don't have enough information to answer. I don't
answerable,abstains, I don't have enough information to answer. I don't have enough information to answer. I don't have enough information t
